objectid,filename,title,format,description,subject,creator,date,collector,material,,,location,latitude,longtitude
object01,IMG_1894.jpeg,Doofy,image / jpeg,First attempt at making a fabric body art doll in reminiscent in the style of vintage porcelain head art feet dolls ,clay doll; doofy; cartoon; clay; sculpture,Shane Ralston,1987,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object02.1,IMG_1895.jpeg,3 faced doll - Sleepy,image / jpeg,"Found object, donated to you by close friend - Jeff Chandler ",vintage; doll; three faced doll,,2015,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object02.2,IMG_1896.jpeg,3 faced doll - Angry,image / jpeg,"Found object, donated to you by close friend - Jeff Chandler ",vintage; doll; three faced doll,,2015,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object02.3,IMG_1897.jpeg,3 faced doll - Sad,image / jpeg,"Found object, donated to you by close friend - Jeff Chandler ",vintage; doll; three faced doll,,2015,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object03,IMG_1898.jpeg,Socks elephant doll,image / jpeg,"Handed down by mother, purchased through a craft kit and made it ",handmade; vintage; doll; elephant; doll; socks,,1973,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object04,IMG_1899.jpeg,West African Traditional Tribal Mask,image / jpeg,"Acquired at a Flee Market (Swap Meet), the red face and the horns are the key features of the mask",tribal; mask; african; tradition,,1998,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object05,IMG_1903.jpeg,Tiki God,image / jpeg,"Acquired at a vintage store in San Pedro - California, made out of a tiki tree carving wood called Monkey Pod",tiki; god; hawaii,,2005,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object06,IMG_1919.jpeg,Butch’s Ceramic Bedside Kangaroo,image / jpeg,A movie prop in imitation of a scene in Pulp Fiction,movie; prop; kangaroo; pulp fiction; quentin tarantino ,,2005,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object07,IMG_1906.jpeg,Baby with Ram's Horn,image / jpeg,Sculpture created by Shane Ralston,clay; doll; ram; horn,Shane Ralston,1991,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object08,IMG_1913.jpeg,Terracotta Soldier,image / jpeg,Gifted by Amarjargal Dorjgotov ,"terracotta; army; mausoleum; site; museum, ",,2012,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object09,IMG_1915.jpeg,Matador Music Box,image / jpeg,"Acquired from eBay, bakelite and bronze ",music box; matador; mexico; souvenir,,2017,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
object10.1,IMG_1916.jpeg,Cuba: I am Time Box - closed,image / jpeg,Cigar Box,cuba; I am Time; box,,N/A,Shane Ralson,,,,"Signal Hill, CA",33.79175,-118.15295
